v_code	v_name	v_addr	lat0	lng0
llp	lou lister park	boundary street  townsville qld	-19.272210	146.810120
lvm	love machine	cnr of little chapel street & malvern road  south yarra vic	-37.846950	144.994960
aor	loves road alberton	  gold coast qld	-28.017260	153.425700
qwr	lower sydney town hall	483 george st entry via druitt st sydney  nsw	-33.873197	151.206186
lna	luna park melbourne	st kilda beach lower esplanade st kilda vic	-37.860070	144.975420
lun	luna park sydney	1 olympic drive  milson's point nsw	-33.849320	151.211290
ldw	lydiard wine bar	15 lydiard street north  ballarat vic	-37.559071	143.858057
qch	lyric theatre qpac	corner grey and melbourne streets   south bank qld	-25.816670	153.083330
qpc	lyric theatre queensland performing arts centre	corner grey and melbourne streets  south bank qld	-25.816670	153.083330
lyr	lyric theatre star city	pirrama road  pyrmont nsw	-33.866210	151.194630
x-lyr	lyric theatre star city	star city pirrama rd pyrmont nsw	-33.869550	151.194540
mcs	mackay - showgrounds	milton street   mackay qld	-21.145510	149.177560
mks	mackay basketball stadium	107 juliet street  mackay qld	-21.151330	149.185100
mbc	mackay bowls club	74-76 malcomson street  north mackay qld	-21.122570	149.176300
mck	mackay entertainment & convention centre	alfred street  mackay qld	-21.141669	149.181963
myp	mackay pcyc	off norris road  north mackay qld	-21.110500	149.172390
mqi	macquarie inn	cnr wheelers ln and birch ave  dubbo nsw	-32.251830	148.636640
mht	mac's hotel melton	322-332 high street  melton vic	-37.682520	144.582540
mtd	madame tussauds sydney	darling harbour lime st  sydney  nsw	-33.868563	151.201266
miscmadew	madew wines	westering federal hwy lake george nsw	-35.058070	149.374670
bmi	magnetic island	  magnetic island qld	-19.178420	146.838020
mha	magnums hotel	366 shute harbour rd  airlie beach qld	-20.268790	148.718240
mai	maia central pier	161 harbour esplanade  docklands vic	-37.816361	144.944730
mst	main street nightclub	level 1 148 victoria street  mackay qld	-21.140120	149.184430
mbs	maitland city bowls sports & recreation club	arthur street  rutherford nsw	-32.717490	151.527030
mls	maitland showground	blomfield st  maitland nsw	-32.743060	151.560090
mcc	majura community centre	rosevear street dickson  canberra act	-35.250700	149.140540
mjp	majura park	majura park adjacent to majura park shopping centre canberra act	-35.282000	149.128680
ara	mallala motor sport park	1050 south rd  edwardstown  sa	-34.987150	138.574060
srimth04	malvern town hall	cnr glenferrie road & high street  malvern vic	-37.820530	145.035750
mal	malvern town hall	cnr glenferrie road & high street  malvern vic	-37.820530	145.035750
mcl	manchester lane	36 manchester lane  melbourne vic	-37.816340	144.966220
mep	mandoon estate	10 harris road  caversham wa	-31.865653	115.994438
mof	mandurah offshore fishing and sailing club	offshore fishing and sailing club breakwater parade  wa	-32.521930	115.713080
mgv	mangrove hotel	47 carnarvon street  broome wa	-17.960180	122.242480
mbl	manhattan superbowl liverpool	10 norfolk street liverpool  liverpool nsw	-33.925990	150.919700
msb	manhattan superbowl mascot	549 gardeners road  mascot nsw	-33.921770	151.195500
mbe	manly beach	n steyne  manly nsw	-33.792012	151.287450
hnk	manly hinkler park	manly hinkler park  manly nsw	-33.798520	151.286120
mlg	manly leagues club	563   pittwater road  brookvale nsw	-33.760090	151.278330
mse	manly sea life sanctuary	the esplanade manly cove  manly nsw	-33.798265	151.281389
myc	manly youth centre	   manly nsw	-33.798520	151.286120
mhs	manning bar university of sydney	manning rd  camperdown nsw	-33.886530	151.187490
mnt	mansfield tavern	wecker road  mansfield qld	-27.534560	153.107110
moq	mantra on queen	570 queen street  brisbane qld	-27.462410	153.031130
man	manuka oval	canberra avenue  manuka act	-35.319040	149.135780
x-man	manuka oval	canberra avenue  manuka act	-35.319040	149.135780
cms	marconi stadium	restwell road  bossley park nsw	-33.862380	150.884980
mco	margaret court arena	batman ave  melbourne vic	-37.820870	144.976130
mrr	margaret river various venues	  margaret river wa	NULL	NULL
mrc	margaret river visitor centre	100 bussell hwy  margaret river wa	-33.948820	115.074080
bve	margaret river’s secret garden brookland valley estate	4072 caves road wilyabrup   wa	-33.797100	115.024260
x-mar	marian street theatre	2 marian street  killara nsw	-33.760953	151.161575
typ	marian street theatre for young people	2 marian st  killara nsw	-33.766809	151.161366
miq	marine stadium the spit	  gold coast qld	-33.829220	151.244060
mcv	mariners cove	seaworld drive   main beach qld	-27.956090	153.426780
mcm	mariner's cover marina	berth 95 arm d next to the helicopter pad 60/70 seaworld drive main beach qld	-27.968726	153.427325
mch	marion bay	marchwiel road  marion bay tas	-42.792180	147.862470
mrl	maroochy rsl	memorial ave  maroochydore  qld	-26.655503	153.093731
mbk	maroochydore basketball stadium	syd lingard drive  buderim qld	-26.681098	153.096059
grr	maroochydore regional football complex	452 maroochydore road  kuluin qld	-26.663410	153.042640
smq	marquee the star	80 pyrmont st  pyrmont nsw	-33.868252	151.194408
mds	marrara sports complex	10 abala road  marrara nt	-12.398970	130.882000
mvc	marrickville bowling club	91 sydenham road  marrickville  nsw	-33.910750	151.163960
mws	marriot waters shopping centre	945 thompsons road  cranbourne west vic	-38.078874	145.249149
map	martin place sydney	1 martin pl  sydney nsw	-33.867710	151.207770
mdt	marulan driver training centre	8 prairie oak rd  marulan nsw	-34.758540	149.980740
mmp	mary mackillop place	7-11 mount street  north sydney nsw	-33.839580	151.205120
mbh	maryborough city hall	kent street  brisbane qld	-27.460190	153.041720
mry	maryborough town hall	neill street  maryborough vic	-37.044690	143.735960
x-mas	masonic club parramatta	163 george st  parramatta nsw	-33.816870	151.014850
mat	matilda cruises	pier 26 aquarium wharf darling habour sydney nsw	-33.873650	151.206890
mti	matisse beach club	148 the esplanade  scarborough wa	-31.892968	115.756544
mfh	matthew flinders hotel	667 warrigal rd   chadstone vic	-37.876390	145.091900
mwg	maunsell wickes gallery	98 holdsworth st  opp. lord dudley hotel woollahra nsw	-33.879394	151.222318
lab	mc labour park	royal parade  parkville vic	-37.789020	144.958680
ahg	mc motorsport	46 grogan road perth international airport perth wa	-31.950030	115.976110
mcb	mccracken country club	mccracken drive  victor harbour sa	-35.534318	138.634274
wwm	mcdonalds park wagga wagga	wagga wagga exhibition centre copland st wagga wagga nsw	-35.124735	147.350700
mhv	mchenry hohnen vintners	325 rocky road forest grove  wa	-34.059041	115.155903
x-mlv	mclaren vale	main road   sa	-35.217600	138.541140
mla	mclarens landing	mariners cove marina 60-70 sea world drive  main beach qld	-27.968812	153.426575
mkp	meakin park	meakin rd  slacks creek qld	-27.646620	153.136170
mma	meat market arts house main pavilion	5 blackwood street  north melbourne  vic	-37.801615	144.954560
mech	mechanics institute	brunswick   vic	-37.767870	144.961930
mec	mechanics institute performing arts centre	corner of sydney & glenlyon roads brunswick melbourne vic	-37.771310	144.961440
myh	meeniyan hall	  meeniyan vic	-38.578870	146.011980
mhd	melaleuca hotel	mitchell street  darwin nt	-12.461970	130.838630
mba	melba hall	university of melbourne royal parade parkville vic	-37.797950	144.957790
svm	melbourne	   vic	-37.471310	144.785150
mpe	melbourne - morning peninsula	   vic	-37.471310	144.785150
mcw	melbourne 4 x 4 training and proving ground	mt cottrell  werribee vic	-37.809110	144.600340
wtg	melbourne 4x4 training and providing ground	135 dukelows road werribee mt cottrell  vic	-37.759300	144.610900
vor	melbourne 4x4 training and proving ground	off road rush race circuit melbourne 4 x 4 training ground mt cottrell (weribee area) vic	-37.471310	144.785150
maq	melbourne aquarium	flinders st  melbourne vic	-37.821137	144.958302
bpa	melbourne ball park altona	merton street  altona vic	-37.856090	144.779720
cmt	melbourne chocolate tour	melbourne cbd    vic	-37.813610	144.963060
mex	melbourne convention & exhibition centre	1 convention place south wharf melbourne vic	-37.824220	144.955990
mce	melbourne convention and exhibition centre	1 convention centre place  south wharf vic	-21.139108	149.180749
tes	melbourne convention centre	1 convention centre pl  south wharf vic	-37.825329	144.950654
mcg	melbourne cricket ground	yarra park jolimont melbourne vic	-37.820192	144.983127
mfv	melbourne five in one	  melbourne vic	-37.813610	144.963060
mhi	melbourne high school memorial hall	forrest hill  south yarra vic	-37.835870	144.994890
x-mmv	melbourne museum	carlton gardens  carlton vic	-37.805500	144.971370
mmv	melbourne museum - carlton gardens	carlton gardens  carlton vic	-37.803290	144.971766
mpk	melbourne park	batman ave  melbourne  vic	-37.820870	144.976130
melb park	melbourne park	swan street  melbourne  vic	-37.824580	144.988880
melbpark	melbourne park	swan street  melbourne vic	-37.820910	144.976860
mpf	melbourne park function centre	melbourne & olympic parks olympic boulevard melbourne vic	-37.824580	144.988880
mopfunc	melbourne park function centre	melbourne & olympic parks olympic boulevard melbourne vic	-37.821310	144.979480
geo717	melbourne park tomorrow	717 bourke st  docklands vic	-37.823836	144.987549
mre	melbourne recital centre	31 sturt street (corner of southbank boulevard and sturt street)  southbank vic	-37.825790	144.966650
mrz	melbourne rectangular stadium	melbourne & olympic parks olympic boulevard melbourne vic	-37.824580	144.988880
melbrecst	melbourne rectangular stadium	olympic boulevard (formerly swan st) melbourne vic	-37.824580	144.988880
mrv	melbourne river cruises	vessels depart from waterfront city marina  docklands vic	-37.815020	144.946010
msg	melbourne showgrounds	epsom road  ascot vale vic	-37.777470	144.911770
msa	melbourne sports and aquatic centre	aughtie drive   albert park melbourne vic	-37.848750	144.967350
msd	melbourne sports and aquatic centre 	aughtie drive  albert park  vic	-37.846510	144.966150
msp	melbourne sports and aquatic centre  	aughtie drive albert park  vic	-37.846510	144.966150
sow	melbourne star observation wheel	101 waterfront way docklands melbourne vic	-37.812043	144.937456
mth	melbourne town hall	corner swanston and collins streets  melbourne vic	-37.815560	144.966570
x-mth	melbourne town hall	corner swanston and collins streets   vic	-37.801104	144.963226
meltown	melbourne town hall	melbourne town hall  melbourne vic	-37.815080	144.966950
vis 	melbourne visitors centre federation square	corner swanston & flinders sts federation square melbourne vic	-37.817510	144.967540
mlz	melbourne zoo	elliott avenue  parkville australia	-37.788020	144.950200
mln	melton town hall	   melton vic	-37.682980	144.580470
x-mes	members equity stadium	310 pier st  perth wa	-31.945990	115.869040
